fecha,indice,contagiados_a,nuevos,recuperados_a,muertos_a,retirados_a,retirados_d,infectados_v
2020-03-03,1,1,1,0,0,0,0,1
2020-03-04,2,3,2,0,0,0,0,3
2020-03-05,3,4,1,0,0,0,0,4
2020-03-06,4,5,1,0,0,0,0,5
2020-03-07,5,6,1,0,0,0,0,6
2020-03-08,6,8,2,0,0,0,0,8
2020-03-09,7,11,3,0,0,0,0,11
2020-03-10,8,17,6,0,0,0,0,17
2020-03-11,9,22,5,0,0,0,0,22
2020-03-12,10,33,11,0,0,0,0,33
2020-03-13,11,43,10,0,0,0,0,43
2020-03-14,12,61,18,0,0,0,0,61
2020-03-15,13,75,14,0,0,0,0,75
2020-03-16,14,156,81,0,0,0,0,156
2020-03-17,15,201,45,1,0,1,0,200
2020-03-18,16,238,37,3,0,3,2,235
2020-03-19,17,341,103,5,0,5,2,336
2020-03-20,18,434,93,6,0,6,1,428
2020-03-21,19,537,103,8,1,9,3,528
2020-03-22,20,632,95,8,1,9,0,623
2020-03-23,21,746,114,11,2,13,4,733
2020-03-24,22,922,176,17,2,19,6,903
2020-03-25,23,1142,220,22,3,25,6,1117
2020-03-26,24,1306,164,33,4,37,12,1269
2020-03-27,25,1610,304,43,5,48,11,1562
2020-03-28,26,1909,299,61,6,67,19,1842
2020-03-29,27,2139,230,75,7,82,15,2057
2020-03-30,28,2449,310,156,8,164,82,2285
2020-03-31,29,2738,289,156,12,168,4,2570
2020-04-01,30,3031,293,234,16,250,82,2781
2020-04-02,31,3404,373,335,18,353,103,3051
2020-04-03,32,3737,333,427,22,449,96,3288
2020-04-04,33,4161,424,528,27,555,106,3606
2020-04-05,34,4471,310,617,34,651,96,3820
2020-04-06,35,4815,344,728,37,765,114,4050
2020-04-07,36,5116,301,898,43,941,176,4175
2020-04-08,37,5546,430,1115,48,1163,222,4383
2020-04-09,38,5972,426,1274,57,1331,168,4641
2020-04-10,39,6501,529,1571,65,1636,305,4865
2020-04-11,40,6927,426,1909,73,1982,346,4945
2020-04-12,41,7213,286,2059,80,2139,157,5074
